text,author,likes,video_title,video_id,published_at,source,sentiment_score,sentiment_category
sky news...maybe not do this,@George-lo7eq,4,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-23T05:51:34Z,youtube,0.0,neutral
Remember this is the same news company that said the Covid vaccine worked and there was no side effects. I think I hold judgment at the moment.,@bobdidit55,92,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-22T19:12:46Z,youtube,-0.296,neutral
I take it every day!!!,@KhrystynaBraverman,2,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-22T23:14:47Z,youtube,0.0,neutral
This is just the daily drama from that very stable genius Donnie and his gang.! All hail!,@SteveBaird-i7x,13,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-22T20:14:01Z,youtube,0.5231,positive
I will never trust the main stream media,@junetomlinson963,11,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-22T23:12:52Z,youtube,-0.4023,negative
lets watch this space.... one side of these comments are not going to age as well as the other...,@RoyCruse,3,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-22T21:50:14Z,youtube,0.2732,neutral
What evidence is there??? Absolutely ZERO  evidence,@JoBlack-dg6ey,4,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-23T08:53:24Z,youtube,0.0,neutral
"It is all about who funds who! Follow the money. Anybody ever thought about the billions and billions that has gone into cancer research yet still no cure? In fact, quite the opposite - now even more are suffering from cancer than ever and the numbers are continuing to rise, yet the money continues to come in and soooo much more is spent on researching the 'cure' rather than the 'cause'.",@jay26cee,10,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-22T20:39:23Z,youtube,-0.94,negative
Magic pill of US,@PMMehdi-u9c,0,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-25T02:49:50Z,youtube,0.0,neutral
maaaan sybau,@SuperWadman,3,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-22T21:18:26Z,youtube,0.0,neutral
"Oh, look over there 👉",@seanbostrom2486,0,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-23T07:28:54Z,youtube,0.0,neutral
Typical Sky News report.,@mischka54,2,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-22T22:07:58Z,youtube,0.0,neutral
ROBERT KENNEDY JR IS RIGHT AND HAVE BEEN STUDYING THIS STUFF FOR YEARS WITH PLENTY! PLENTY!!! OF SCIENTIFIC PROOF TO BACK IT UP!!!!! DO NOT BELEIEVE ENGLAND OR NHS. WE ARE COMING INTO A NEW AGE.,@GORG0NITE-4RCH3R,1,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-23T10:26:20Z,youtube,0.0,neutral
Nuevo EBOOK - Mejora El Dolor de Hombro: Guía Completa para Pacientes con Lesiones del Manguito Rotador. Todas las semanas voy a seleccionar suscriptores para regalarles una copia del libro. Solo deben solicitarlo en los comentarios junto a su correo electrónico. Referencia: https://doctormarsalli.myshopify.com/products/ebook-mejora-el-dolor-de-hombro,@dr.michaelmarsalli,3,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2024-10-04T23:00:00Z,youtube,0.0,neutral
"Me gustan mucho sus explicaciónes ,excelente doctor ,dios lo bendiga",@elsaaguila9023,1,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2025-05-19T00:17:03Z,youtube,0.0,neutral
Excelente explicación doctor,@solangemaya7475,1,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2024-09-25T13:10:47Z,youtube,0.0,neutral
Gracias por compartir ❤,@XiomaraLagunapupo,0,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2025-09-14T23:18:41Z,youtube,0.0,neutral
Gracias  doctor.,@rossanagandolfo984,1,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2024-09-25T10:52:06Z,youtube,0.0,neutral
Para my tambien desde ase 40 años le tengo mucha fe,@TommyLindo-q9e,0,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2025-11-12T20:14:48Z,youtube,0.0,neutral
Gracias doc agradezco su información ❤❤,@claraperez4192,0,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2024-10-05T09:11:59Z,youtube,0.0,neutral
Que guapo el Dr. Que ojos tan bonitos 😍,@lorito222,0,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2025-10-21T18:37:40Z,youtube,0.0,neutral
El Paracetamol para mí es lo mejor ❤,@SaraIglesiasDowhun,3,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2025-07-20T07:40:24Z,youtube,0.0,neutral
Yo lo he tomado muy bueno,@elsaaguila9023,1,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2025-05-19T00:14:43Z,youtube,0.0,neutral
Ketorolac trometamina no es fuerte tanto como el paracetamol? o tiene efectos secundarios graves?,@eman.m.h6369,1,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2025-06-20T18:00:43Z,youtube,-0.5803,negative
Es bueno para mi tratamiento de la perdicaditis?,@CLIER99,1,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2025-02-14T00:03:35Z,youtube,0.0,neutral
"Que linda explicacion , ahora te queria preguntar , que es mejor para el dolor de hueso, el celecoxi o el artrom ??,",@erikaobreque6280,1,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2024-09-26T23:15:23Z,youtube,0.0,neutral
Sirve para dolor fuerte de cabeza,@NairobiRodríguez-s9g,0,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2025-11-09T19:29:22Z,youtube,0.0,neutral
Yo tomo 1 gramo de tafirol y parasetamol tengo 72 año y me duelen los huesos  1 por día tomo no hace mal porque me duelen los huesos y me hace bien,@cristinadalman,0,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2025-06-18T18:13:26Z,youtube,-0.296,neutral
Doctor por favor digame se puede tomar paracetsmol si ya ase ocho horas ke me inyecte detametazona,@TommyLindo-q9e,0,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2025-11-13T04:44:01Z,youtube,0.4019,positive
Perdón sirve para dolor de garganta quien me puede decir.,@josefinat9268,0,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2025-11-14T08:44:58Z,youtube,0.0,neutral
"hola doc yo tome tafirol paracetamol de 1g y siento sintomas como adormecimiento,frío y sensación de hormiguo en piernas y manos muy fea ya llevo unas horas así y me asusta,podría ser reacción alérgica o efecto secundario?😔",@biaanleila,0,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2025-08-22T00:26:13Z,youtube,0.0,neutral
"Hola doctor, puedo tomar paracetamol de 1 gr cada 12 hs?, para no despetarme a las mañana muy temprano para tomar",@DaltonGM.,0,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2025-09-14T01:03:37Z,youtube,-0.296,neutral
La prevuntaes sio me inyectaron detametazona con un antiviotipco por las admigdadas infkamadas   si me tomo.una paracetamil en caso ke lo rrekiera ase mal  con la detametazona,@TommyLindo-q9e,0,PARACETAMOL: ¿Es Bueno para el DOLOR?,PYhdouWrC5U,2025-11-12T20:16:38Z,youtube,0.0,neutral
"Excelente información hermoso Doctor, Dios lo bendiga 🙌🙏🙌 por dar la información tan clara y precisa.
Saludos desde Querétaro-Mexico 🌹😚",@reahumiyoucansee8636,35,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2019-06-29T15:54:38Z,youtube,0.0,neutral
"Gracias por mostrarnos
lo que no sabemos de
medicamentos.
Muy bueno el vídeo.",@jorgemendez5107,15,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2022-05-16T17:21:09Z,youtube,-0.296,neutral
Gracias doc😎tengo dolor de cabeza ahorita x esta maldita gripe... Así que boya tomar paracetamol😀😀😎,@JonasMisVideos715,18,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2021-01-13T16:07:30Z,youtube,0.0,neutral
Gracias un Abrazo que Dios lo Bendiga,@JuanRodriguez-ne2eo,6,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2022-01-17T23:46:27Z,youtube,0.0,neutral
"Muchas gracias por tan valiosa información, desde República Dominicana🇩🇴",@marialuisabaez7555,4,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2022-08-26T19:49:19Z,youtube,0.0,neutral
Gracias Dr....Excelente informe...Da gusto escucharlo,@chaneledithdimarco4406,3,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2024-04-20T22:00:31Z,youtube,0.0,neutral
"Saludos desde Altavista, el Salvador.",@jorgemendez5107,5,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2022-05-16T17:18:29Z,youtube,0.0,neutral
La forma en que se nos ilustra es muy simple y entendible por cualquier persona por que les agradezco de todo corazon sus consejos que dios los bendiga. Muchas gracias,@jesusbelisariobernalesmend204,6,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2020-05-18T23:48:23Z,youtube,0.0,neutral
Gracias por su ayuda dios lo vendiga mil gracias,@AuroraCastillo-pt3ck,0,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2025-11-07T02:37:15Z,youtube,0.0,neutral
Gracias Dr Q Jehová me lo vendiga x tan buena informaciön,@valentinmontap9760,13,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2020-09-11T23:11:54Z,youtube,0.0,neutral
grasia dotor por su información,@luisalbertosanchez6784,3,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2022-08-21T02:06:47Z,youtube,0.0,neutral
Mis respetos no puede haber una explicacion mas clara .,@pedroochoa2213,4,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2024-04-21T21:45:43Z,youtube,-0.296,neutral
"gracias por la buena informacion doc,",@aliciaguzman1669,5,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2020-10-22T15:28:18Z,youtube,0.0,neutral
Gracias dr ..muy buen informe,@jarnoferreyra5325,2,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2022-09-06T21:01:03Z,youtube,0.0,neutral
Gracias por su información Dios le bendiga,@nellylugo8182,7,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2020-02-18T03:31:05Z,youtube,0.0,neutral
"Gracias por su atención y explicación, Respetuosamente AROLDO 🤓",@aroldotrujillo1340,7,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2021-10-12T04:02:59Z,youtube,0.0,neutral
Gracias por tu vídeo,@victoriadiazmateo3812,3,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2023-09-23T19:02:51Z,youtube,0.0,neutral
Exelente información,@verqueniasantosalmonte,3,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2023-03-11T08:23:46Z,youtube,0.0,neutral
"Muchísimas gracias Doctor, por su recomendación. 
DIOS lo Bendiga 🙏..",@eugeniaanacleto468,1,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2023-09-14T14:50:53Z,youtube,0.0,neutral
Gracias por esta información 😃,@anastaciadiaz2092,3,"Paracetamol, cuándo y cómo debemos tomarlo. Tu Farmacéutico Informa",jrSrRyLf0vU,2021-02-17T02:08:41Z,youtube,0.0,neutral
"Independente se você é esquerda ou direita o fato é  que o fabricante não recomenda uso durante a gestação,deve ter seus motivos então não é  bom usar,tem que substituir o mesmo.",@The_Bored_People,9,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-29T17:46:45Z,youtube,0.0,neutral
"A associação foi feito por estudo científico em Havard,a própria marca Tylenol diz que nenhum dos seus produtos são indicados a mulheres grávidas.",@anacleiderodrigues3652,16,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-29T16:59:28Z,youtube,0.0,neutral
O que a gente sabe é que a indústria não abre mão de seus lucros e briga até o útimo momento.,@francismariomorais2461,14,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-24T19:18:53Z,youtube,0.0,neutral
"Não é bem assim. Existem estudos q mostram quantidade de paracetamol no cordão umbilical e sistema nervoso, pois ele atravessa a barreira hematoencefalica. Há interesses escusos e conflitos econômicos, pois o remédio é vendido em supermercado nos EUA.",@pedropaulopereiraalves3107,8,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-30T10:48:42Z,youtube,-0.296,neutral
"A indústria farmacêutica americana lucra bilhões com opioides. Durante anos empurrou propaganda, pressionou médicos e transformou dor moderada em receita de droga pesada. O resultado foi dependência em massa e a crise do fentanil.

No Brasil os protocolos são rígidos. Mesmo depois de cirurgia muita gente sai só com analgésico comum ou anti-inflamatório. Aqui opioide é exceção, lá virou rotina.

Onde as pessoas veem burrice, eu vejo uma fala proposital e com uma intenção clara. Não é surpresa nenhuma o espalhamento da ideia de que paracetamol causa autismo. Não é teoria da conspiração ver a conexão quando essa fala vem do presidente. É hipocrisia para vender ainda mais opioides.",@saulo5216,26,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-24T21:17:41Z,youtube,-0.4939,negative
"Donald Tranqueira tem interesses escusos, por isto usa alegações falsas!",@jeanlibre3349,61,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-24T15:33:33Z,youtube,0.0,neutral
Governo Americano falando algo sobre saúde = mentira. 😅,@gabrielmachado8582,15,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-24T23:39:30Z,youtube,0.0,neutral
O agente laranja está deixando o povo doido.,@fernandogomes1611,6,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-25T01:25:04Z,youtube,0.0,neutral
Uai?  Não eram as vacinas?,@fransergiopaiva3369,7,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-24T18:52:45Z,youtube,0.0,neutral
"O que é ciência?algo imaterial,sobrenatural?Ciência nada mais é que um monte de pesquisadores ,cheios de pose e bancados  por alguma farmacêutica que bancam suas pesquisas, repetindo eventos,observando,repetindo e observando,até que os eventos  se tornem constantes.",@anaclaravinhas,2,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-30T00:15:45Z,youtube,0.0,neutral
A galera usando o argumento de “se a fabricante não recomenda” como se autismo fosse a pior coisa que pode acontecer com alguém que toma esse tipo de remédio.,@CarlosHenrique-tw1sp,0,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-10-11T10:32:54Z,youtube,0.0,neutral
Agrotóxicos o Trump não fala.,@reginateixeira4805,4,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-25T02:27:14Z,youtube,0.0,neutral
"Trump so fala bullshit! Ele é mentiroso como é todo doido de extrema direita. 

O autismo está associado ao envelhecimento, quanto mais velhos os pais , maior o risco de filhos autistas.",@GhibliHeroine,34,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-24T16:43:32Z,youtube,-0.6565,negative
"Até a fabricante nao recomenda na gravidez, então porque tomar! Se ama o filho não arrisque",@TheGoodWitch23,1,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-29T17:02:33Z,youtube,0.0,neutral
Aposto q alguem da indústria farmacêutica falou mal dele!!!,@macieloliveira562,1,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-24T22:55:52Z,youtube,0.0,neutral
"O problema é que o paracetamol chega ao feto e é metabolizado por ele e isso poderá afetá-lo. Estudos ainda não existem,  mas os cientistas devem procurar a causa do aumento de crianças autistas. Se o paracetamol é uma pista, então, que aa grávidas evitem usá-lo e que se pesquise mais a fundo essa hipótese!",@mateamargo5465,0,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-10-11T11:28:10Z,youtube,0.0,neutral
Os casos de altismo está aumentando pq é algo que muita gente tem e nem sabe. Vc pode viver a vida toda sem saber. Mas agora todo mundo tá procurando saber se tem.,@jmtradbr,7,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-24T19:10:04Z,youtube,0.0,neutral
Eu sou uma pessoa muito ruim pra tomar remédio e só tomo se tiver d cama e muito ruim.. e eu passei a gravidez inteira de boa muito vômitos e cansada só isso então não tomei nada d paracetamol na verdade acho q devo tomar a cara 5anos quando pego gripe muito forte sei lá… e tive uma filha autista q eu percebi q era desde os 12meses e hj vejo traços d autismo no meu filho q está com 14anos então como pode eu ter tido uma filha autista sem tomar paracetamol? 😒,@aleanselmo,1,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-25T08:14:18Z,youtube,-0.296,neutral
"Duas atrás administraram um remédio que impede de falar merda, racismo, xenofobia, homofobia. o paciente não fez um discurso de ódio desde que a dose foi aplicada com sucesso .",@fisica_altas_energias,0,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-25T16:04:07Z,youtube,0.0,neutral
Tentativa ridícula de distrair o público para esquecerem da situação com o Jimmy Kimmel e dos arquivos sobre o Jeffrey Epstein 😂,@patriciaferraro4189,5,Paracetamol na gravidez: o risco é real? - #shorts,9yhKvUzuyG0,2025-09-24T23:29:03Z,youtube,0.0,neutral
"Gracias doctor ... Le sigo desde que me fracture el humero proximal en el mes de marzo , sus comentarios me han ayudado a comprender mejor este proceso de reparacion, largo y doloroso,  tuve una 2da operacion hace 15 dias ... Mi doctor es un 70 me ha sacado adelante.  Pero en las dudas del dia a dia es cuando los buenos consejos son de mucha utilidad.",@lourdesrodriguez6246,3,El paracetamol como tratamiento para el dolor de hombro,t4BMX9BH7Ds,2025-01-23T08:09:26Z,youtube,0.34,positive
MUCHAS GRACIAS!❤❤❤,@lilytoledog68,0,El paracetamol como tratamiento para el dolor de hombro,t4BMX9BH7Ds,2025-04-15T00:24:02Z,youtube,0.0,neutral
Vale,@AnaVillalbaalcalde,0,El paracetamol como tratamiento para el dolor de hombro,t4BMX9BH7Ds,2025-08-18T22:10:13Z,youtube,0.0,neutral
Ta chido,@angeldavidmartinezliscano2958,0,El paracetamol como tratamiento para el dolor de hombro,t4BMX9BH7Ds,2025-01-21T01:54:00Z,youtube,0.0,neutral
Para el manguito rotador me dieron pregabalina de 75 mg,@marianeladelva3706,0,El paracetamol como tratamiento para el dolor de hombro,t4BMX9BH7Ds,2025-01-22T23:46:20Z,youtube,0.0,neutral
"¡Hola majos! Si necesitáis organizar cosillas (trabajo, estudios, hobbies...) os dejo por aquí el enlace para que probéis Milanote de forma gratuita: https://milanote.com/lahiperactina
Echadle un vistacillo, que estas cosas nos ayudan a financiar vídeos como este❤ un abracito enormeeeeeeeeeeeeee",@Lahiperactina,188,Así actúa el PARACETAMOL en el CUERPO,tQhgpPg4Z4U,2023-12-07T14:58:29Z,youtube,0.0,neutral
"Hola. Done un riñón y ahora vivo con mucha ansiedad. Fue una cirugía muy dolorosa para mí y ahora vivo aterrada de los hospitales y las enfermedades. Nadie habla de eso, todo lo que encuentro es sobre los enfermos renales, pero no sobre los donantes. Puedes hacer un vídeo sobre eso?",@partidadoble718,44,Así actúa el PARACETAMOL en el CUERPO,tQhgpPg4Z4U,2023-12-16T05:46:06Z,youtube,-0.296,neutral
Que cool estaría un video sobre la Amoxicilina y el naproxeno,@corcho6481,124,Así actúa el PARACETAMOL en el CUERPO,tQhgpPg4Z4U,2023-12-07T23:56:26Z,youtube,0.3182,neutral
"Holaaaa me encantaría que explicaras en un video la función de los opioides con el dolor y porque son tan adictivos y dependientes fisiológicamente, me parece un tema muy interesante!",@fernandasanchezdiaz511,134,Así actúa el PARACETAMOL en el CUERPO,tQhgpPg4Z4U,2023-12-09T16:14:48Z,youtube,0.0,neutral
"Me cambié este año de la lic. En ciencias biologicas a lic. En biologia molecular porque me has inspirado mucho 😳 gracias ♡
Edit: Me gusta la biomedicina, pero me ha orientado más la pasión por la molecular jaja.",@Tensh1992,49,Así actúa el PARACETAMOL en el CUERPO,tQhgpPg4Z4U,2023-12-21T16:49:00Z,youtube,0.34,positive
Es increíble lo mucho que he aprendido en este canal,@NightSoul_newmusic,64,Así actúa el PARACETAMOL en el CUERPO,tQhgpPg4Z4U,2023-12-07T17:22:26Z,youtube,0.0,neutral
Sube más videos de cómo funcionan los fármacos. Son muy interesantes e incluso útiles!!,@fractos3034,30,Así actúa el PARACETAMOL en el CUERPO,tQhgpPg4Z4U,2023-12-08T09:24:53Z,youtube,0.0,neutral
"Llevo un tiempo siguiendo tus vídeos y por favor déjame decirte dos cosas. La primera es que creo que haces un gran trabajo acercando la medicina al público general, de forma clara y concisa. Y la segunda es que, no sé si querrás ejercer la medicina para ganarte la vida, pero me parece que como docente serías excepcional, la forma clara que tienes de hablar, el ritmo, el lenguaje no verbal, francamente hacen falta docentes de calidad y creo tu la tienes. Un saludo y ánimo con el canal.",@kahun,100,Así actúa el PARACETAMOL en el CUERPO,tQhgpPg4Z4U,2023-12-19T09:30:26Z,youtube,-0.1779,neutral
